external_id;nombre;categoria;precio;stock;estado;descripcion;sede_id
PROD-0001;"Producto sintético 1";Bebidas;2.07;1;activo;"Descripción sintética con ñ 1";123
PROD-0002;"Producto sintético 2";Nutrición;3.14;2;activo;"Descripción sintética con ñ 2";123
PROD-0003;"Producto sintético 3";"Categoría no mapeada";4.21;3;activo;"Descripción sintética con ñ 3";123
PROD-0004;"Producto sintético 4";Nutrición;5.28;4;activo;"Descripción sintética con ñ 4";123
PROD-0005;"Producto sintético 5";Bebidas;6.35;5;activo;"Descripción sintética con ñ 5";123
PROD-0006;"Producto sintético 6";"Categoría no mapeada";7.42;6;activo;"Descripción sintética con ñ 6";123
PROD-0007;"Producto sintético 7";Bebidas;8.49;7;activo;"Descripción sintética con ñ 7";123
PROD-0008;"Producto sintético 8";Nutrición;9.56;8;activo;"Descripción sintética con ñ 8";123
PROD-0009;"Producto sintético 9";"Categoría no mapeada";10.63;9;activo;"Descripción sintética con ñ 9";123
PROD-0010;"Producto sintético 10";Nutrición;11.70;10;activo;"Descripción sintética con ñ 10";123
PROD-0011;"Producto sintético 11";Bebidas;12.77;11;activo;"Descripción sintética con ñ 11";123
PROD-0012;"Producto sintético 12";"Categoría no mapeada";13.84;12;activo;"Descripción sintética con ñ 12";123
PROD-0013;"Producto sintético 13";Bebidas;14.91;13;activo;"Descripción sintética con ñ 13";123
PROD-0014;"Producto sintético 14";Nutrición;15.98;14;activo;"Descripción sintética con ñ 14";123
PROD-0015;"Producto sintético 15";"Categoría no mapeada";16.05;15;activo;"Descripción sintética con ñ 15";123
PROD-0016;"Producto sintético 16";Nutrición;17.12;16;activo;"Descripción sintética con ñ 16";123
PROD-0017;"Producto sintético 17";Bebidas;18.19;17;inactivo;"Descripción sintética con ñ 17";123
PROD-0018;"Producto sintético 18";"Categoría no mapeada";19.26;18;activo;"Descripción sintética con ñ 18";123
PROD-0019;"Producto sintético 19";Bebidas;20.33;19;activo;"Descripción sintética con ñ 19";123
PROD-0020;"Producto sintético 20";Nutrición;21.40;20;activo;"Descripción sintética con ñ 20";123
PROD-0021;"Producto sintético 21";"Categoría no mapeada";22.47;21;activo;"Descripción sintética con ñ 21";123
PROD-0022;"Producto sintético 22";Nutrición;23.54;22;activo;"Descripción sintética con ñ 22";123
PROD-0023;"Producto sintético 23";Bebidas;24.61;23;activo;"Descripción sintética con ñ 23";123
PROD-0024;"Producto sintético 24";"Categoría no mapeada";25.68;24;activo;"Descripción sintética con ñ 24";123
PROD-0025;"Producto sintético 25";Bebidas;26.75;25;activo;"Descripción sintética con ñ 25";123
PROD-0026;"Producto sintético 26";Nutrición;27.82;26;activo;"Descripción sintética con ñ 26";123
PROD-0027;"Producto sintético 27";"Categoría no mapeada";28.89;27;activo;"Descripción sintética con ñ 27";123
PROD-0028;"Producto sintético 28";Nutrición;29.96;28;activo;"Descripción sintética con ñ 28";123
PROD-0029;"Producto sintético 29";Bebidas;30.03;29;activo;"Descripción sintética con ñ 29";123
PROD-0030;"Producto sintético 30";"Categoría no mapeada";31.10;30;activo;"Descripción sintética con ñ 30";123
PROD-0031;"Producto sintético 31";Bebidas;32.17;31;activo;"Descripción sintética con ñ 31";123
PROD-0032;"Producto sintético 32";Nutrición;33.24;32;activo;"Descripción sintética con ñ 32";123
PROD-0033;"Producto sintético 33";"Categoría no mapeada";34.31;33;activo;"Descripción sintética con ñ 33";123
PROD-0034;"Producto sintético 34";Nutrición;35.38;34;inactivo;"Descripción sintética con ñ 34";123
